ciqual_code	name_en	name_fr	prop_in_categories	prop_in_ingredients
16719	Vegetable fat (margarine type), spreadable, fat content unknown, light, unsalted	Matière grasse végétale (type margarine), teneur en matière grasse inconue, doux (aliment moyen)	ciqual_food_code	
16725	Fat spreadfat content unknown, unsalted (average)	Matière grasse végétale (type margarine), teneur réduite en matière grasse inconnue, doux (aliment moyen)	ciqual_food_code	
16733	Vegetable fat (margarine type), spreadable, 30-40% fat, light, unsalted	Matière grasse végétale (type margarine), à tartiner, à 30-40% MG, légère, doux	ciqual_food_code	
16734	Vegetable fat (margarine type), spreadable, 30-40% fat, light, lightly salted	Matière grasse végétale (type margarine), à tartiner, à 30-40% MG, légère, demi-sel	ciqual_food_code	
16736	Vegetable fat (margarine type), spreadable, 30-40% fat, light, unsalted, rich in omega 3	Matière grasse végétale (type margarine), à tartiner, à 30-40% MG, légère, doux, riche en oméga 3	ciqual_food_code	
16737	Vegetable fat (margarine type), spreadable, 50-63% fat, light, unsalted, rich in omega 3	Matière grasse végétale (type margarine) à 50-63% MG, allégée, doux, riche en oméga 3	ciqual_food_code;ciqual_proxy_food_code	ciqual_food_code;ciqual_proxy_food_code
16738	Vegetable fat (margarine type), 50-63% fat, light, lightly salted	Matière grasse végétale (type margarine) à 50-63% MG, allégée, demi-sel	ciqual_food_code	
16739	Vegetable fat (margarine type), spreadable, 50-63% fat, light, unsalted, with plant sterols esters	Matière grasse végétale (type margarine) à 50-63% MG, allégée, doux, aux esters de stérol végétal	ciqual_food_code	ciqual_food_code
16740	Vegetable fat (margarine type), spreadable, 50-63% fat, light, lightly salted, rich in omega 3	Matière grasse végétale (type margarine) à 50-63% MG, allégée, demi-sel, riche en oméga 3	ciqual_food_code	
16741	Vegetable fat (margarine type), spreadable, 50-63% fat, light, unsalted	Matière grasse végétale (type margarine) à 50-63% MG, allégée, doux	ciqual_food_code	ciqual_food_code
16742	Vegetable fat (margarine type), spreadable, 30-40% fat, light, lightly salted, with plant sterols esters	Matière grasse végétale (type margarine) à 30-40% MG, légère, demi-sel, aux esters de stérol végétal	ciqual_food_code	
16743	Blended fat (vegetable and animal origins), 50-63% fat	Matière grasse mélangée (végétale et laitière) à 50-63% MG	ciqual_food_code	
16744	Blended fat (vegetable and animal origins), 50-63% fat, lightly salted	Matière grasse mélangée (végétale et laitière) à 50-63% MG, demi-sel	ciqual_food_code	
16745	Blended fat (vegetable and animal origins), spreadable, 30-40% fat	Matière grasse mélangée (végétale et laitière), à tartiner, à 30-40% MG	ciqual_food_code	
16746	Blended fat (vegetable and animal origins), spreadable, 30-40% fat, lightly salted	Matière grasse mélangée (végétale et laitière), à tartiner, à 30-40% MG, demi-sel	ciqual_food_code	
17126	Safflower oil	Huile de carthame	ciqual_food_code	ciqual_food_code
17999	Paraffin oil	Huile de paraffine	ciqual_food_code	
18008	Water, bottled (average)	Eau de source, embouteillée (aliment moyen)	ciqual_food_code	
18156	Oolong tea, brewed, without sugar	Thé oolong, infusé, non sucré	ciqual_food_code	ciqual_food_code
18350	Dietary drink for sport	Boisson diététique pour le sport	ciqual_food_code	
