 Section 	 Section Descr. FR	No agrément	Dénomination	street_address	city	 Catégorie 	Activité associée 	 Espèce	 Remarques 	Adresse	slugadresse	lat	lng
0	Etablissements activité générale	KF103086	Jin Long Trading sprl	Rue Saint-Pierre  59 	1000 Bruxelles	CS				Rue Saint-Pierre  59  ,1000 Bruxelles	Rue Saint-Pierre  59  , 1000 Bruxelles , Belgium	50,8553621	4,3560451
0	Etablissements activité générale	KF103096	Fromagerie Sita	Rue de Liège(CO)  9 	6180 Courcelles	CS				Rue de Liège(CO)  9  ,6180 Courcelles	Rue de Liège  9  , 6180 Courcelles , Belgium	50,4732394	4,3656386
0	Etablissements activité générale	KF103113	Aljero	Chaussée de Bruxelles  6 	1470 Baisy-Thy	RW	FFPP			Chaussée de Bruxelles  6  ,1470 Baisy-Thy	Chaussée de Bruxelles  6  , 1470 Baisy-Thy , Belgium	50,6021876	4,4583545
0	Etablissements activité générale	KF103125	SEANERGIE 	Rue des Gaillettes,Battice  30 	4651 Battice	CS	FFPP			Rue des Gaillettes,Battice  30  ,4651 Battice	Rue des Gaillettes, Battice  30  , 4651 Battice , Belgium	50,6481286	5,8115491
0	Etablissements activité générale	KF103184	BRAUNS	Rue Van Soust  254 	1070 Anderlecht	CS				Rue Van Soust  254  ,1070 Anderlecht	Rue Van Soust  254  , 1070 Anderlecht , Belgium	50,8462537	4,3009241
0	Etablissements activité générale	KF103194	Stockhabo	Chaussée de Dottignies(L)  40 b bis	7700 Mouscron/Moeskroen	CS			fl and/of sn	Chaussée de Dottignies(L)  40 b bis ,7700 Mouscron/Moeskroen	Chaussée de Dottignies  40 b bis , 7700 Mouscron/Moeskroen , Belgium	50,7391125	3,2415244
0	Etablissements activité générale	KF103194	Stockhabo	Chaussée de Dottignies(L)  40 b bis	7700 Mouscron/Moeskroen	CS				Chaussée de Dottignies(L)  40 b bis ,7700 Mouscron/Moeskroen	Chaussée de Dottignies  40 b bis , 7700 Mouscron/Moeskroen , Belgium	50,7391125	3,2415244
0	Etablissements activité générale	KF103195	Larfrost	Lar  70 	8930 Menen	CS				Lar  70  ,8930 Menen	Lar  70  , 8930 Menen , Belgium	50,777162	3,201853
0	Etablissements activité générale	KF103211	VAN REMOORTERE	Woestijnstraat(BOR)  27 	2880 Bornem	CS	CP, MP, MSM			Woestijnstraat(BOR)  27  ,2880 Bornem	Woestijnstraat  27  , 2880 Bornem , Belgium	51,0936193	4,2718501
0	Etablissements activité générale	KF103215	La Fagnarde Sprl	Rue du Camp,Sourbrodt  44 	4950 Waimes/Weismes	CS			fl and/of sn	Rue du Camp,Sourbrodt  44  ,4950 Waimes/Weismes	Rue du Camp, Sourbrodt  44  , 4950 Waimes/Weismes , Belgium	50,4703453	6,1483805
