Vet. approval No.	Name of establishment	Region	Adress	Type of activity	Foreign/ domestic trade	adr2	lat	lng
39-074P	"UAB ""Marijampolės pieno konservai"" Vartų psp"	Vilkaviškio raj.	Vartų k., Bartninkų sen.	Milk collection point,	 EU	Vartų k., Bartninkų sen. , Vilkaviškio raj. , Lithuania	54,4670889	23,0245488
39-075P	"ŽŪK ""Melbras"" Kuosėnų psp"	Vilkaviškio raj.	Kuosėnų k., Bartninkų sen.	Milk collection point,	 EU	Kuosėnų k., Bartninkų sen. , Vilkaviškio raj. , Lithuania	54,5070362	23,0020897
39-08	"UAB ""Provincijos mėsa"""	Vilkaviškio raj.	Rūdos k., Gižų sen.,	Meat, PP,mp	 EU	Rūdos k., Gižų sen., , Vilkaviškio raj. , Lithuania	54,6113798	23,2315852
39-081P	"ŽŪK ""Senoji Kryžkelė"" Suvalkų psp"	Vilkaviškio raj.	Suvalkų k., Šeimenos sen.	Milk collection point,	 EU	Suvalkų k., Šeimenos sen. , Vilkaviškio raj. , Lithuania	54,6472509	23,125056
39-084P	"UAB ""Marijampolės pieno konservai"" Piliakalnių psp"	Vilkaviškio raj.	Piliakalnių k., Bartninkų sen.	Milk collection point,	 EU	Piliakalnių k., Bartninkų sen. , Vilkaviškio raj. , Lithuania	54,475088	23,0544689
39-085P	"UAB ""Marijampolės pieno konservai"" Vištyčio psp"	Vilkaviškio raj.	Vištyčio k., Vištyčio sen.	Milk collection point,	 EU	Vištyčio k., Vištyčio sen. , Vilkaviškio raj. , Lithuania	54,4555869	22,714572
39-087P	"UAB ""Marijampolės pieno konservai"" Aistiškių PSP"	Kalvarijos sav.	Aistiškių k. Akmenynų sen.	Milk collection point,	 EU	Aistiškių k. Akmenynų sen. , Kalvarijos sav. , Lithuania	54,422813	23,014699
39-094P	"AB ""Rokiškio sūris"" Matlaukio psp"	Vilkaviškio raj.	Matlaukio k., Kybartų sen.	Milk collection point,	 EU	Matlaukio k., Kybartų sen. , Vilkaviškio raj. , Lithuania	54,577148	22,728653
39-095P	"AB ""Rokiškio sūris"" Šiaudiniškių psp"	Vilkaviškio raj.	Šiaudiniškių k., Kybartų sen.	Milk collection point,	 EU	Šiaudiniškių k., Kybartų sen. , Vilkaviškio raj. , Lithuania	54,660279	22,8468439
39-096P	"ŽŪK ""Melbras"" Karklinių psp"	Vilkaviškio raj.	Karklinių k., Keturvalakių sen.	Milk collection point,	 EU	Karklinių k., Keturvalakių sen. , Vilkaviškio raj. , Lithuania	54,5286939	23,167394
39-097P	"ŽŪK ""Melbras"" Degučių psp"	Vilkaviškio raj.	Degučių k., Keturvalakių sen.	Milk collection point,	 EU	Degučių k., Keturvalakių sen. , Vilkaviškio raj. , Lithuania	54,528912	23,1221749
39-098P	"ŽŪK ""Melbras"" Aistos PSP"	Kalvarijos sav.	Aistiškių k. Akmenynų sen.	Milk collection point,	 EU	Aistiškių k. Akmenynų sen. , Kalvarijos sav. , Lithuania	54,422813	23,014699
39-099P	"ŽŪK ""Melbras"" Gražupio psp"	Vilkaviškio raj.	Gražiškių k., Gražiškių sen.	Milk collection point,	 EU	Gražiškių k., Gražiškių sen. , Vilkaviškio raj. , Lithuania	54,467609	22,9225508
39-10 P	"UAB ""ART GLACIO"""	Vilkaviškio raj.	Pilviškių g. 48, Gudelių k. Šeimenos sen	Milk establishments, PP (ice)	 EU	Pilviškių g. 48, Gudelių k. Šeimenos sen , Vilkaviškio raj. , Lithuania	54,6570265	23,0457339
39-101P	"ŽŪK ""Melbras"" Vartų psp"	Vilkaviškio raj.	Vartų k., Bartninkų sen.	Milk collection point,	 EU	Vartų k., Bartninkų sen. , Vilkaviškio raj. , Lithuania	54,4670889	23,0245488
39-102P	"ŽŪK ""Melbras"" Kybeikių psp"	Vilkaviškio raj.	Kybeikių k., Kybartų sen.	Milk collection point,	 EU	Kybeikių k., Kybartų sen. , Vilkaviškio raj. , Lithuania	54,6128059	22,7491249
39-103P	"ŽŪK ""Melbras"" Pavištyčio psp"	Vilkaviškio raj.	Pavištyčio k., Vištyčio sen.	Milk collection point,	 EU	Pavištyčio k., Vištyčio sen. , Vilkaviškio raj. , Lithuania	54,4227189	22,7866169
39-104P	"ŽŪK ""Melbras"" Pašeimenių psp"	Vilkaviškio raj.	Pašeimenių k., Bartninkų sen.	Milk collection point,	 EU	Pašeimenių k., Bartninkų sen. , Vilkaviškio raj. , Lithuania	54,542206	23,067868
39-105P	"ŽŪK ""Melbras"" Pajevonio psp"	Vilkaviškio raj.	Pajevonio k., Pajevonio sen.	Milk collection point,	 EU	Pajevonio k., Pajevonio sen. , Vilkaviškio raj. , Lithuania	54,529509	22,827411
39-106P	"AB ""Rokiškio sūris"" pieno surinkimo centras"	Vilkaviškio raj.	Geležinkelio g. 24, Pilviškių mstl.	Milk collection center, CC	 EU	Geležinkelio g. 24, Pilviškių mstl. , Vilkaviškio raj. , Lithuania	54,7263317	23,19982
39-107P	"ŽŪK ""Senoji Kryžkelė"" Sūdavos psp"	Vilkaviškio raj.	Sūdavos k., Klausučių sen.	Milk collection point,	 EU	Sūdavos k., Klausučių sen. , Vilkaviškio raj. , Lithuania	54,7333519	23,0120349
39-108P	"ŽŪK ""Senoji Kryžkelė"" Daržininkų psp"	Vilkaviškio raj.	Daržininkų k., Klausučių sen.	Milk collection point,	 EU	Daržininkų k., Klausučių sen. , Vilkaviškio raj. , Lithuania	54,7478549	22,914998
39-109P	"ŽŪK ""Melbras"""	Vilkaviškio raj.	Ąžuolyno g. 4, Bartninkų k., Bartninkų s	Milk collection center, CC	 EU	Ąžuolyno g. 4, Bartninkų k., Bartninkų s , Vilkaviškio raj. , Lithuania	54,7066798	25,237751
39-11	"UAB ""Roleka"""	Vilkaviškio raj.	Vaidotų g.8, Matlaukio k., Kybartų sen.	Meat, PP,mp	 EU	Vaidotų g.8, Matlaukio k., Kybartų sen. , Vilkaviškio raj. , Lithuania	54,577148	22,728653
39-110P	"ŽŪK ""Senoji Kryžkelė"" Vilkupių psp"	Vilkaviškio raj.	Vilkupių k., Kybartų sen.	Milk collection point,	 EU	Vilkupių k., Kybartų sen. , Vilkaviškio raj. , Lithuania	54,677065	22,7881641
39-111 P	"ŽŪK ""Senoji kryžkelė"""	Vilkaviškio raj.	Alksėnų k.	Milk collection center, CC	 EU	Alksėnų k. , Vilkaviškio raj. , Lithuania	54,7259869	23,1127859
39-112P	"AB ""Rokiškio sūris"" Pajevonio psp"	Vilkaviškio raj.	Pajevonio k., Pajevonio sen.	Milk collection point,	 EU	Pajevonio k., Pajevonio sen. , Vilkaviškio raj. , Lithuania	54,529509	22,827411
39-113P	"AB ""Rokiškio sūris"" Alksnėnų-Stirnėnų psp"	Vilkaviškio raj.	Stirnėnų k., Pilviškių sen.	Milk collection point,	 EU	Stirnėnų k., Pilviškių sen. , Vilkaviškio raj. , Lithuania	54,716158	23,1171869
39-115P	"AB ""Rokiškio sūris"" Bajorų psp"	Vilkaviškio raj.	Bajorų k., Kybartų sen.	Milk collection point,	 EU	Bajorų k., Kybartų sen. , Vilkaviškio raj. , Lithuania	54,6645309	22,757998
39-117P	"ŽŪK ""Melbras"" Geisteriškių-2 psp"	Vilkaviškio raj.	Geisteriškių k., Bartninkų sen.	Milk collection point,	 EU	Geisteriškių k., Bartninkų sen. , Vilkaviškio raj. , Lithuania	54,5070362	23,0020897
39-118P	"UAB ""Marijampolės pieno konservai"" Gižų psp"	Vilkaviškio raj.	Gižų k., Gižų sen.	Milk collection point,	 EU	Gižų k., Gižų sen. , Vilkaviškio raj. , Lithuania	54,6050441	23,2250939
39-119P	"ŽŪK ""Senoji Kryžkelė"" Berželio psp"	Vilkaviškio raj.	Paežerių k., Pilviškių sen.	Milk collection point,	 EU	Paežerių k., Pilviškių sen. , Vilkaviškio raj. , Lithuania	54,666571	23,186518
39-120P	"ŽŪK ""Senoji Kryžkelė"" Opšrūtų psp"	Vilkaviškio raj.	Opšrūtų k., Pilviškių sen.	Milk collection point,	 EU	Opšrūtų k., Pilviškių sen. , Vilkaviškio raj. , Lithuania	54,6871869	23,145041
39-121P	J. Vaitkevičienės IĮ Karklinių psp	Vilkaviškio raj.	Karklinių k., Keturvalakių sen.	Milk collection point,	 EU	Karklinių k., Keturvalakių sen. , Vilkaviškio raj. , Lithuania	54,5286939	23,167394
39-122P	"ŽŪK ""Melbras"" Totorkiemio psp"	Vilkaviškio raj.	Totorkiemio k., Vištyčio sen.	Milk collection point,	 EU	Totorkiemio k., Vištyčio sen. , Vilkaviškio raj. , Lithuania	54,501804	22,7217749
39-123P	"ŽŪK ""Melbras"" Girėnų psp"	Vilkaviškio raj.	Girėnų k., Vištyčio sen.	Milk collection point,	 EU	Girėnų k., Vištyčio sen. , Vilkaviškio raj. , Lithuania	54,534789	22,7160751
39-125P	"ŽŪK ""Melbras"" Bačkiškių psp"	Vilkaviškio raj.	Bačkiškių k., Keturvalakių sen.	Milk collection point,	 EU	Bačkiškių k., Keturvalakių sen. , Vilkaviškio raj. , Lithuania	54,6068809	23,1524139
39-126P	"UAB ""Marijampolės pieno konservai"" Pašeimenių psp"	Vilkaviškio raj.	Pašeimenių k., Bartninkų sen.	Milk collection point,	 EU	Pašeimenių k., Bartninkų sen. , Vilkaviškio raj. , Lithuania	54,542206	23,067868
39-129P	"UAB ""Marijampolės pieno konservai"" Geisteriškių psp"	Vilkaviškio raj.	Geisteriškių k., Bartninkų sen.	Milk collection point,	 EU	Geisteriškių k., Bartninkų sen. , Vilkaviškio raj. , Lithuania	54,5070362	23,0020897
39-130P	"UAB ""Marijampolės pieno konservai"" Podvarko psp"	Vilkaviškio raj.	Būdviečių k., Pajevonio sen.	Milk collection point,	 EU	Būdviečių k., Pajevonio sen. , Vilkaviškio raj. , Lithuania	54,5440719	22,879754
39-131P	"ŽŪK ""Melbras"" Geisteriškių psp"	Vilkaviškio raj.	Geisteriškių k., Keturvalakių sen.	Milk collection point,	 EU	Geisteriškių k., Keturvalakių sen. , Vilkaviškio raj. , Lithuania	54,5592151	23,1455634
39-132P	"ŽŪK ""Melbras"" Naujininkų psp"	Vilkaviškio raj.	Naujininkų k., Vištyčio sen.	Milk collection point,	 EU	Naujininkų k., Vištyčio sen. , Vilkaviškio raj. , Lithuania	54,545794	22,7608859
39-133P	"ŽŪK ""Melbras"" Dalgėnų psp"	Vilkaviškio raj.	Bartninkų k., Bartninkų sen.	Milk collection point,	 EU	Bartninkų k., Bartninkų sen. , Vilkaviškio raj. , Lithuania	54,5109969	23,0306174
39-135P	"ŽŪK ""Melbras"" Šukių psp"	Vilkaviškio raj.	Klampučių k., Šeimenos sen.	Milk collection point,	 EU	Klampučių k., Šeimenos sen. , Vilkaviškio raj. , Lithuania	54,5808319	22,9589859
39-136P	"ŽŪK ""Melbras"" Trilaukio psp"	Vilkaviškio raj.	Trilaukio k., Pajevonio sen.	Milk collection point,	 EU	Trilaukio k., Pajevonio sen. , Vilkaviškio raj. , Lithuania	54,5278997	22,8261064
39-137P	"ŽŪK ""Melbras"" Bardauskų psp"	Vilkaviškio raj.	Bardauskų k., Keturvalakių sen.	Milk collection point,	 EU	Bardauskų k., Keturvalakių sen. , Vilkaviškio raj. , Lithuania	54,5592151	23,1455634
39-139P	"ŽŪK ""Melbras"" Ančlaukio psp"	Vilkaviškio raj.	Ančlaukio k., Pajevonio sen.	Milk collection point,	 EU	Ančlaukio k., Pajevonio sen. , Vilkaviškio raj. , Lithuania	54,5278997	22,8261064
39-140P	"ŽŪK ""Melbras"" Skardupių psp"	Vilkaviškio raj.	Skardupių k., Gražiškių sen.	Milk collection point,	 EU	Skardupių k., Gražiškių sen. , Vilkaviškio raj. , Lithuania	54,478173	22,8318369
39-141P	"ŽŪK ""Melbras"" Sodėnų psp"	Vilkaviškio raj.	Užbalių k., Pajevonio sen.	Milk collection point,	 EU	Užbalių k., Pajevonio sen. , Vilkaviškio raj. , Lithuania	54,5331409	22,8715736
39-142P	"ŽŪK ""Melbras"" Kumečių psp"	Vilkaviškio raj.	Mažučių k., Virbalio sen.	Milk collection point,	 EU	Mažučių k., Virbalio sen. , Vilkaviškio raj. , Lithuania	54,5987519	22,8764139
39-144P	"UAB ""Marijampolės pieno konservai"" Beržinių psp"	Vilkaviškio raj.	Beržinių k., Gražiškių sen.	Milk collection point,	 EU	Beržinių k., Gražiškių sen. , Vilkaviškio raj. , Lithuania	54,467609	22,9225508
39-146P	"ŽŪK ""Normas"" Dailučių psp"	Vilkaviškio raj.	Dailučių k., Virbalio sen.	Milk collection point,	 EU	Dailučių k., Virbalio sen. , Vilkaviškio raj. , Lithuania	54,6182006	22,8512906
39-15	Z.Kuzmenskienės IĮ	Vilkaviškio raj.	Daugėlaičių k.	Meat, SH;P;B	 EU	Daugėlaičių k. , Vilkaviškio raj. , Lithuania	54,6208119	22,748746
39-150P	"ŽŪK ""Melbras"" Duonelaičių psp"	Vilkaviškio raj.	Duonelaičių k., Gražiškių sen.	Milk collection point,	 EU	Duonelaičių k., Gražiškių sen. , Vilkaviškio raj. , Lithuania	54,4286056	22,9318098
39-151P	"UAB ""Marijampolės pieno konservai"" Lakštučių psp"	Vilkaviškio raj.	Lakštučių k., Bartninkų sen.	Milk collection point,	 EU	Lakštučių k., Bartninkų sen. , Vilkaviškio raj. , Lithuania	54,5070362	23,0020897
39-155P	"AB ""Rokiškio sūris"" Vartų psp"	Vilkaviškio raj.	Vartų k., Bartninkų sen.	Milk collection point,	 EU	Vartų k., Bartninkų sen. , Vilkaviškio raj. , Lithuania	54,4670889	23,0245488
39-157P	"UAB ""Marijampolės pieno konservai"" Matlaukio psp"	Vilkaviškio raj.	Matlaukio k., Kybartų sen.	Milk collection point,	 EU	Matlaukio k., Kybartų sen. , Vilkaviškio raj. , Lithuania	54,577148	22,728653
39-161P	"AB ""Rokiškio sūris"" Vaišvilų psp"	Vilkaviškio raj.	Vaišvilų k., Pajevonio sen.	Milk collection point,	 EU	Vaišvilų k., Pajevonio sen. , Vilkaviškio raj. , Lithuania	54,564576	22,837681
39-165P	"ŽŪK ""Senoji Kryžkelė"" Slabadų psp"	Vilkaviškio raj.	Slabadų k., Klausučių sen.	Milk collection point,	 EU	Slabadų k., Klausučių sen. , Vilkaviškio raj. , Lithuania	54,7427865	22,982263
39-167P	"ŽŪK ""Melbras"" Matlaukio psp"	Vilkaviškio raj.	Matlaukio k., Kybartų sen.	Milk collection point,	 EU	Matlaukio k., Kybartų sen. , Vilkaviškio raj. , Lithuania	54,577148	22,728653
39-169P	"ŽŪK ""Suvalkijos pienas"" Bebrininkų psp"	Vilkaviškio raj.	Bebrininkų k., Pilviškių sen.	Milk collection point,	 EU	Bebrininkų k., Pilviškių sen. , Vilkaviškio raj. , Lithuania	54,6939089	23,2999829
39-170P	"ŽŪK ""Melbras"" Būdviečių psp"	Vilkaviškio raj.	Būdviečių k., Pajevonio sen.	Milk collection point,	 EU	Būdviečių k., Pajevonio sen. , Vilkaviškio raj. , Lithuania	54,5440719	22,879754
39-171P	"AB ""Rokiškio sūris"" Jurkšų psp"	Vilkaviškio raj.	Jurkšų I k., Pilviškių sen.	Milk collection point,	 EU	Jurkšų I k., Pilviškių sen. , Vilkaviškio raj. , Lithuania	54,7207042	23,2208547
39-172P	"ŽŪK ""Melbras"" Alvito psp"	Vilkaviškio raj.	Alvito k., Šeimenos sen.	Milk collection point,	 EU	Alvito k., Šeimenos sen. , Vilkaviškio raj. , Lithuania	54,634235	22,923666
39-173P	"ŽŪK ""Suvalkijos pienas"" Sodėnų psp"	Vilkaviškio raj.	Pajevonio k., Pajevonio sen.	Milk collection point,	 EU	Pajevonio k., Pajevonio sen. , Vilkaviškio raj. , Lithuania	54,529509	22,827411
39-175P	"ŽŪK ""Melbras"" Lakštučių psp"	Vilkaviškio raj.	Lakštučių k., Bartninkų sen.	Milk collection point,	 EU	Lakštučių k., Bartninkų sen. , Vilkaviškio raj. , Lithuania	54,5070362	23,0020897
39-176P	"ŽŪK ""Melbras"" Sausininkų psp"	Vilkaviškio raj.	Sausininkų k., Bartninkų sen.	Milk collection point,	 EU	Sausininkų k., Bartninkų sen. , Vilkaviškio raj. , Lithuania	54,518546	22,9553859
39-177P	"ŽŪK ""Suvalkijos pienas"" Patilčių psp"	Vilkaviškio raj.	Patilčių k., Keturvalakių sen.	Milk collection point,	 EU	Patilčių k., Keturvalakių sen. , Vilkaviškio raj. , Lithuania	54,496636	23,0975059
39-180P	Gintauto Karčiausko pieno ūkis	Vilkaviškio raj.	Opšrūtų k., Pilviškių sen.	The producer of small quantities,	domestic trade	Opšrūtų k., Pilviškių sen. , Vilkaviškio raj. , Lithuania	54,6871869	23,145041
39-181P	Kęstučio Žurausko pieno ūkis	Vilkaviškio raj.	Stirniškių k., Gražiškių sen.	The producer of small quantities,	domestic trade	Stirniškių k., Gražiškių sen. , Vilkaviškio raj. , Lithuania	54,4300959	22,8598339
39-183P	Nadieždos Kurtinaitienės pieno ūkis	Vilkaviškio raj.	Bačkiškių k., Keturvalakių sen.	The producer of small quantities,	domestic trade	Bačkiškių k., Keturvalakių sen. , Vilkaviškio raj. , Lithuania	54,6068809	23,1524139
39-184P	Vytauto Vasiliausko pieno ūkis	Vilkaviškio raj.	Maldėnų k., Šeimenos sen.	The producer of small quantities,	domestic trade	Maldėnų k., Šeimenos sen. , Vilkaviškio raj. , Lithuania	54,6350734	22,9316236
39-187P	Zenono Galinsko pieno ūkis	Vilkaviškio raj.	Uosių k., Šeimenos sen.	The producer of small quantities,	domestic trade	Uosių k., Šeimenos sen. , Vilkaviškio raj. , Lithuania	54,6379195	22,984689
39-188P	Vaidos Janušaitienės pieno ūkis	Vilkaviškio raj.	Antupių k., Keturvalakių sen.	The producer of small quantities,	domestic trade	Antupių k., Keturvalakių sen. , Vilkaviškio raj. , Lithuania	54,5592151	23,1455634
39-192P	Stasio Matonio pieno ūkis	Vilkaviškio raj.	Simanėliškių k., Šeimenos sen.	The producer of small quantities,	domestic trade	Simanėliškių k., Šeimenos sen. , Vilkaviškio raj. , Lithuania	54,653004	23,0152369
39-202P	"UAB ""Marijampolės pieno konservai"" Girėnų psp"	Vilkaviškio raj.	Girėnų k., Vištyčio sen.	Milk collection point,	 EU	Girėnų k., Vištyčio sen. , Vilkaviškio raj. , Lithuania	54,534789	22,7160751
39-203P	"ŽŪK ""Normas"" Gražiškių psp"	Vilkaviškio raj.	Gražiškių k., Gražiškių sen.	Milk collection point,	 EU	Gražiškių k., Gražiškių sen. , Vilkaviškio raj. , Lithuania	54,467609	22,9225508
39-205P	Laimutės Petkevičiūtės pieno ūkis	Vilkaviškio raj.	Paežerių k., Pilviškių sen.	The producer of small quantities,	domestic trade	Paežerių k., Pilviškių sen. , Vilkaviškio raj. , Lithuania	54,666571	23,186518
39-206P	Ritos Puidienės pieno ūkis	Vilkaviškio raj.	D.Šelvių k., Šeimenos sen.	The producer of small quantities,	domestic trade	D.Šelvių k., Šeimenos sen. , Vilkaviškio raj. , Lithuania	54,6379195	22,984689
39-207P	"ŽŪK ""Melbras"" Rasių psp"	Vilkaviškio raj.	Vartų k., Bartninkų sen.	Milk collection point,	 EU	Vartų k., Bartninkų sen. , Vilkaviškio raj. , Lithuania	54,4670889	23,0245488
39-209P	Kristinos Jurgaitienės pieno ūkis	Vilkaviškio raj.	Uosių k., Šeimenos sen.	The producer of small quantities,	domestic trade	Uosių k., Šeimenos sen. , Vilkaviškio raj. , Lithuania	54,6379195	22,984689
39-210P	"UAB ""Marijampolės pieno konservai"" Šilupės psp"	Vilkaviškio raj.	Matlaukio k., Kybartų sen.	Milk collection point,	 EU	Matlaukio k., Kybartų sen. , Vilkaviškio raj. , Lithuania	54,577148	22,728653
39-211P	Virginijos Marijos Kasparaitienės pieno ūkis	Vilkaviškio raj.	Lauko g.5, Teiberių k., Klausučių sen.	The producer of small quantities,	domestic trade	Lauko g.5, Teiberių k., Klausučių sen. , Vilkaviškio raj. , Lithuania	54,6535874	23,0337893
39-212P	"ŽŪK ""Melbras"" Ožkabalių psp"	Vilkaviškio raj.	Ožkabalių k., Bartninkų sen.	Milk collection point,	 EU	Ožkabalių k., Bartninkų sen. , Vilkaviškio raj. , Lithuania	54,5070362	23,0020897
39-213P	Beatos Navickienės pieno ūkis	Vilkaviškio raj.	M.Šelvių k., Vilkaviškio r. sav.	The producer of small quantities,	domestic trade	M.Šelvių k., Vilkaviškio r. sav. , Vilkaviškio raj. , Lithuania		
39-214P	"AB ""Rokiškio sūris"" Klampučių psp"	Vilkaviškio raj.	Klampučių k., Šeimenos sen.	Milk collection point,	 EU	Klampučių k., Šeimenos sen. , Vilkaviškio raj. , Lithuania	54,5808319	22,9589859
39-215P	Jono Kazalupskio pieno ūkis	Vilkaviškio raj.	Stanaičių k., Kybartų sen., Vilkaviškio	The producer of small quantities,	domestic trade	Stanaičių k., Kybartų sen., Vilkaviškio , Vilkaviškio raj. , Lithuania	54,6479985	23,0408591
39-24	"UAB ""Gardulis"""	Vilkaviškio raj.	J.Basanavičiaus g. 57b, Kybartai	Meat, PP,mp;CP;MM,MP	 EU	J.Basanavičiaus g. 57b, Kybartai , Vilkaviškio raj. , Lithuania	54,6377385	22,7680869
39-26	A.Saukaičio IĮ	Vilkaviškio raj.	Kybartai, Pievų g. 5	Meat, PP;mp	 EU	Kybartai, Pievų g. 5 , Vilkaviškio raj. , Lithuania	54,6438153	22,7601735
41-001 V	"UAB ""Palink"""	Vilniaus raj.	Senasis Ukmergės kelias 8, Užubalių k.	Butchers, CP;MM;MP	domestic trade	Senasis Ukmergės kelias 8, Užubalių k. , Vilniaus raj. , Lithuania	54,767925	25,1968321
41-002V	UAB Mano mėsinė	Vilniaus raj.	Lauko g. 8A, Nemenčinė, Vilniaus r.	Butchers,	domestic trade	Lauko g. 8A, Nemenčinė, Vilniaus r. , Vilniaus raj. , Lithuania	54,8477858	25,4680677
