Vet. approval No.	Name of establishment	Region	Adress	Type of activity	Foreign/ domestic trade	adr2	lat	lng
38-013P	"KB ""Lietuviškas pienelis"" Krivilių p.s.p."	Varėnos raj.	Krivilių k., Vydenių sen., Varėnos r.	Milk collection point,	 EU	Krivilių k., Vydenių sen., Varėnos r. , Varėnos raj. , Lithuania	54,1518899	24,782045
38-02	"UAB ""Dzūkų gaminiai"""	Varėnos raj.	Nedzingės k., Varėnos sen.,	Meat, CP;PP,mp;MM,MP	 EU	Nedzingės k., Varėnos sen., , Varėnos raj. , Lithuania	54,247317	24,330282
38-020P	"KB ""Lietuviškas pienelis"" Valkininkų p.s.p."	Varėnos raj.	Valkininkų k., Valkininkų sen., Varėnos	Milk collection point,	 EU	Valkininkų k., Valkininkų sen., Varėnos , Varėnos raj. , Lithuania	54,3583279	24,840883
38-023P	"KB ""Lietuviškas pienelis"" Pilvingio p.s.p."	Varėnos raj.	Pilvingio k., Merkinės sen., Varėnos r.	Milk collection point,	 EU	Pilvingio k., Merkinės sen., Varėnos r. , Varėnos raj. , Lithuania	54,2412649	24,2768199
38-03	"UAB ""Adex LT"	Varėnos raj.	Pramonės g. 3A, Varėna	Other establishments, PP,sn	 EU	Pramonės g. 3A, Varėna , Varėnos raj. , Lithuania	54,2148544	24,5959182
38-037P	Dariaus Kareivos ūkis	Varėnos raj.	Urkionių k., Matuizų sen., Varėnos r.	The producer of small quantities,	domestic trade	Urkionių k., Matuizų sen., Varėnos r. , Varėnos raj. , Lithuania	54,29714	24,7843889
38-040P	Valdo Kavaliausko ūkis	Varėnos raj.	Dargužių k., Valkininkų sen., Varėnos r.	The producer of small quantities,	domestic trade	Dargužių k., Valkininkų sen., Varėnos r. , Varėnos raj. , Lithuania	54,384094	24,8831718
38-041P	Gintos Novikevičienės ūkis	Varėnos raj.	Kijutiškių k. Vydenių sen., Varėnos r.	The producer of small quantities,	domestic trade	Kijutiškių k. Vydenių sen., Varėnos r. , Varėnos raj. , Lithuania	54,1862243	24,7268257
38-052P	Audriaus Jokubausko ūkis	Varėnos raj.	Kabelių k., Marcinkonių sen., Varėnos r.	The producer of small quantities,	domestic trade	Kabelių k., Marcinkonių sen., Varėnos r. , Varėnos raj. , Lithuania	53,9515719	24,2951579
38-060P	Gintauto Baranausko pieno ūkis	Varėnos raj.	Kareivonių k., Jakėnų sen., Varėnos r.	The producer of small quantities,	domestic trade	Kareivonių k., Jakėnų sen., Varėnos r. , Varėnos raj. , Lithuania	54,4089749	24,6239069
38-061P	Audronės Naruševičės pieno ūkis	Varėnos raj.	Krūminių k., Matuizų sen., Varėnos r.	The producer of small quantities,	domestic trade	Krūminių k., Matuizų sen., Varėnos r. , Varėnos raj. , Lithuania	54,301875	24,8252049
38-062	Laimos Stankevičos pieno ūkis	Varėnos raj.	Damononių 9, Damononių k., Jakėnų sen.,	The producer of small quantities,	domestic trade	Damononių 9, Damononių k., Jakėnų sen., , Varėnos raj. , Lithuania	54,4018594	24,6185875
38-064	Jolantos Budreikaitės pieno ūkis	Varėnos raj.	Varėnos r. sav., Milioniškių k.,	The producer of small quantities,	domestic trade	Varėnos r. sav., Milioniškių k., , Varėnos raj. , Lithuania		
39-001 V	"UAB 'Palink"""	Vilkaviškio raj.	Vienybės g. 47	Butchers, CP;MM;MP	domestic trade	Vienybės g. 47 , Vilkaviškio raj. , Lithuania	54,6566687	23,0354039
39-003 V	"UAB ""Norfos mažmena"""	Vilkaviškio raj.	Vištyčio 40, Kybartai	Butchers, MC;MM;MP	domestic trade	Vištyčio 40, Kybartai , Vilkaviškio raj. , Lithuania	54,6312121	22,7546108
39-004 V	"UAB ""Norfos mažmena"""	Vilkaviškio raj.	Nepriklausomybės g. 61, Vilkaviškis	Butchers, MC;MP;MM	domestic trade	Nepriklausomybės g. 61, Vilkaviškis , Vilkaviškio raj. , Lithuania	54,6591443	23,0300229
39-005 V	"UAB ""Palink"""	Vilkaviškio raj.	Kęstučio g. 15, Vilkaviškis	Butchers, MP;MM	domestic trade	Kęstučio g. 15, Vilkaviškis , Vilkaviškio raj. , Lithuania	54,6523989	23,0361552
39-006	"UAB""Palink"" mėsinė"	Vilkaviškio raj.	Vytauto g.101 Vilkaviškis	Butchers,	domestic trade	Vytauto g.101 Vilkaviškis , Vilkaviškio raj. , Lithuania	54,6486832	23,0323181
39-02	Juozo Žydelio IĮ	Vilkaviškio raj.	Rimgaudo g. 26, Vilkaviškis	Poultry, CP,A	 EU	Rimgaudo g. 26, Vilkaviškis , Vilkaviškio raj. , Lithuania	54,6405409	23,0442741
39-03	Juozo Kirvaičio ūkis	Vilkaviškio raj.	Vyšnių g. 18, Vilkaviškis	Meat, CP;PP,mp	 EU	Vyšnių g. 18, Vilkaviškis , Vilkaviškio raj. , Lithuania	54,6420161	23,0391943
39-04	Romo Bačinsko individuali veikla	Vilkaviškio raj.	Kanų g. 25, Vilkaviškio sen.	Meat, PP,mp	 EU	Kanų g. 25, Vilkaviškio sen. , Vilkaviškio raj. , Lithuania	54,6510944	23,0482629
39-053P	"ŽŪK ""Melbras"" Kybeikių-2 psp"	Vilkaviškio raj.	Kybeikių k., Kybartų sen.	Milk collection point,	 EU	Kybeikių k., Kybartų sen. , Vilkaviškio raj. , Lithuania	54,6128059	22,7491249
