Nº RGSEAA; Razón Social;Provincia/Localidad;lat;lng;Actividades;Especies;Otros Detalles
10.07352/CS;CARNES ROS, S.L.;Castellón/Castelló/BENICARLO;40.4180244;0.4229813;RW, CP, MM, MP, PP;;MP
10.07355/V;POLLOS PLANES, S.L.;Valencia/València/MASSAMAGRELL;39.5285576;-0.3850434;RW, CP;;
10.07362/SG;JUAN LLORENTE S.L.;Segovia/CARBONERO EL MAYOR;41.1223601;-4.2652816;PP;;MP
10.07364/M;EMBUTIDOS VELILLA, S.L.;Madrid/ARGANDA DEL REY;40.3007708;-3.4380688;MM, MP, PP;;MP
10.07369/BI;AYERBE;Bizkaia/MALLABIA;43.1894379;-2.5297833;RW, CP;;MP
10.07371/NA;OCHOA ECHEVERRIA ARANZAZU Y JOAQUIN;Navarra/ARTAJONA;42.5872827;-1.7643793;PP;;MP
10.07375/O;REPRESENTACIONES DE AVES Y GANADOS SL;Asturias/CORUÑO;43.5633258;-6.1458061;CP;;
10.07379/A;ESPINOSA Y ESPINOSA S.L.;Alicante/Alacant/PINOS (EL)/PINOSO;38.4021056;-1.041617;RW, MM, MP, PP;;MP
10.07381/HU;CÁRNICAS BARBASTRO S.L;Huesca/BARBASTRO;42.035291;0.1273884;SH, PP;B, C, O;ST
10.07390/A;DEVESA OLMOS, VICENTE;Alicante/Alacant/ALICANTE/ALACANT;38.37564915;-0.5314365255;RW, MM, MP, PP;;MP
10.07391/NA;DOMAICA GOMEZ, GLORIA;Navarra/MEANO;42.6034983;-2.4747239;PP;;MP
10.07393/LO;TRES LISES S.A.;Rioja, La/LOGROÑO;42.4661196;-2.4396676;PP;;MP
10.07394/MU;ARCE OLMOS, FRANCISCO JAVIER;Murcia/SANTOMERA;38.0615839;-1.0490938;PP;;MP
10.07395/TO;LA ABUELA JULIA, S.L.;Toledo/NAMBROCA;39.7978442;-3.9444599;CP, MM, MP, PP;;MP
10.07406/VA;COMERCIAL AVICOLA CABALLO BLANCO S.L.;Valladolid/VILLALON DE CAMPOS;42.0984494;-5.0347132;CS, RW, CP;;
10.07408/LE;JOSE MANUEL GONZALEZ ALCOBA;León/CIMANES DEL TEJAR;42.6177068;-5.8059392;PP;;MP
10.07414/LO;EMBUTIDOS SANTOLAYA SAL;Rioja, La/RIBAFRECHA;42.3552837;-2.3876788;PP;;MP
10.07415/CR;ALIMENTACIÓN MAR-GO, S.L.;Ciudad Real/CIUDAD REAL;38.95975095;-3.8828282392;CS, CP, MM, MP, PP;;MP
10.07420/L;CARNICAS BARBE S.L.;Lleida/ALGUAIRE;41.7288012;0.5433889;CP, MM, MP, PP;;MP
10.07421/T;COMERCIAL XARCUTERA SL;Tarragona/TARRAGONA;41.1172364;1.2546057;PP;;MP
10.07423/TE;JAMONES CASTELFRIO S.A.L.;Teruel/CEDRILLAS;40.4366612;-0.8523204;PP;;MP
10.07431/SO;C. B. EMBUTIDOS DE PABLO;Soria/COLLADO (EL);41.7787845;-1.8263021;PP;;MP
10.07434/B;SUPERCARNS SL;Barcelona/SANT JOAN DE VILATORRADA;41.9001033;2.2831232;CS, CP, MM, MP;;
10.07439/ZA;FELIPE REBOLLO CALABAZA;Zamora/FUENTESAUCO;41.2307077;-5.4960881;CS, SH, CP;P, B;
10.07441/V;JUAN LOPEZ CALABUIG, S.L.;Valencia/València/FONT DE LA FIGUERA (LA);38.80496;-0.8798528;SH;L;
10.07443/A;SAEZ CANO, ALBERTO;Alicante/Alacant/ALGUEÑA;38.2649269;-0.6742097;RW, MM, MP, PP;;MP
10.07446/O;GARCIA GARCIA, AURORA;Asturias/SAN SALVADOR;43.1337895;-6.0743975;MM, MP, PP;;MP
10.07448/LE;FAUSTINO FERNANDEZ DEL OLMO;León/MANSILLA DE LAS MULAS;42.4991013;-5.4169163;PP;;MP
