code;name;street;city;postalcode;lat;lng
DK 1842 EF;Grenaa Sorteringscentral;Søndre Kajgade 13;Grenaa;8500;56.4093070;10.9223120
DK 186 EF;DAN-OX PADBORG ApS;Industrivej 6;Padborg;6330;54.8241870;9.3552460
DK 188 EF;LL COLD ApS;Løhdesvej 15;Engesvang;7442;56.1635450;9.3521450
DK 190 EF;AABENRAA FRYSEHUS A/S;Øster Madevej 5;Aabenraa;6200;55.0463840;9.4320150
DK 191 EF;LL COLD ApS;Coasterkaj 9;Skagen;9990;57.7214940;10.6028840
DK 192 EF;Constellation Cold Logistics Denmark A/S;Birkedam 11;Kolding;6000;55.5156310;9.4435740
DK 194 EF;AKTIESELSKABET POSEIDON MUSLINGER, OG REJER;Havnepladsen 4;Rømø;6792;55.0866040;8.5652860
DK 196 EF;Constellation Cold Logistics Denmark A/S;Lilledybet 6;Aalborg;9220;57.0477730;10.0590950
DK 197 EF;Constellation Cold Logistics Denmark A/S;Stormosevej 13;Hasselager;8361;56.1014180;10.0935420
DK 20 EF;Danmarks Slagteriskole ZBC Slagteriet;Maglegårdsvej 6 B;Roskilde;4000;55.6292110;12.0770050
DK 2002 EF;BC Catering Skanderborg A/S;Niels Bohrs Vej 20;Skanderborg;8660;56.0671580;9.9862400
DK 2008 EF;MUNKEBO SEAFOOD A/S;Fiskeløkken 1;Munkebo;5330;55.4595320;10.5447490
DK 2014 EF;Nørmark Meat ApS;Englandsvej 7;Vejle;7100;55.7311960;9.5520250
DK 2020 EF;LAUNIS A/S;Niels Bohrs Vej 9;Skagen;9990;57.7345720;10.5751050
DK 2021 EF;Tenax Sild A/S;Industrivej Nord 2;Ålbæk;9982;57.6014200;10.4187000
DK 2030 EF;CHRISTAN VOLLSTEDT - SØNDERJYSKE, DIPLOMPØLSER ApS AF 01.01.2000;Naffet 22;Haderslev;6100;55.2491570;9.4925640
DK 2033 EF;Vilsund Blue A/S;Øroddevej 100;Nykøbing;7900;56.7857660;8.8777160
DK 2044 EF;A/S SÆBY FISKEINDUSTRI;Gyldendalsvej 4;Sæby;9300;57.3179930;10.4920600
DK 2059 EF;Fabrikken Lepo A/S;Baldersbuen 7;Hedehusene;2640;55.6549570;12.2253330
DK 2062 EF;Leif Henriksen spegepølser og røgvarer;Kragemosevej 5;Slagelse;4200;55.4101660;11.2547570
DK 2065 EF;Royal Leverpostej;Rokhøj 24;Lystrup;8520;56.2282100;10.2473360
DK 2083 EF;AaD Drift ApS, central køkken;Lundvej 8;Herning;7400;56.1535220;9.0184420
DK 20849 EF;Den Selvejende Fond Jagtejendommen i Trend Skov, v/Peter Damgaard Hansen;Løgstørvej 108;Farsø;9640;56.8216540;9.2199830
DK 2092 EF;WIUM LEVERPOSTEJ ApS;Sallingsundvej 9;Esbjerg;6715;55.5126460;8.4614480
DK 2095 EF;Gert Nielsen A/S;Stamholmen 140B;Hvidovre;2650;55.6139530;12.4711110
DK 211 EF;Danish Crown A/S;Mosevangen 1;Svenstrup;9230;56.9821850;9.8592680
DK 2117 EF;Cater Food A/S, Mors;Vestmorsvej 56-60;Nykøbing;7900;54.7646137;11.8709918
DK 2134 EF;BF-OKS A/S;Mejerivej 14;Hesselager;5874;55.1679350;10.7317590
DK 2135 EF;BC Catering Grossisten;Blækhatten 10;Odense;5220;55.3648270;10.4615690
DK 2142 EF;Delika ApS, Pakkeri;Hirsevej 22;Haderslev;6100;55.2334470;9.4979400
DK 215 EF;SCANFLAVOUR A/S;Erhvervsvej 12;Møldrup;9632;56.6199280;9.5053330
DK 2158 EF;Öxneholm A/S;Søndre Mellemvej 48;Roskilde;4000;55.6467840;12.1276160
DK 2164 EF;Silkeborg Slagteren A/S;Hagemannsvej 10;Silkeborg;8600;56.1984790;9.5666800
DK 2170 EF;NR. SØBY KØD ENGROS A/S;Nymarksgyden 5, Nr. Lyndelse;Årslev;5792;55.3095470;10.4026650
DK 2182 EF;Gate Gourmet Denmark ApS;Cargo Centervej 39;Billund;7190;55.7358060;9.1389900
DK 22 EF;Danish Crown;Haslevej 19;Rønne;3700;55.1122710;14.7038300
DK 2203 EF;Aarhus Kødengros ApS;Viaduktvej 7;Viby;8260;56.1161550;10.1381240
DK 2219 EF;TOFTS RØGERI;Hasselvej 2A;Stege;4780;54.9990385;12.2861033
DK 2238 EF;Ravsted Slagteri ApS, Slagteri;Ravsted Storegade 35;Bylderup-Bov;6372;55.0080680;9.1227740
DK 2242 EF;Kødgrossisten;Industrivænget 16;Vemmelev;4241;55.3625660;11.2396380
DK 2246 EF;Svaneke Slagter ApS;Vigebakke 1A;Svaneke;3740;55.1372890;15.1391940
DK 2247 EF;Als pølser;Kirke Hørupvej 20;Sydals;6470;54.9252200;9.9043930
DK 2255 EF;KALU A/S;Slagtehusgade 18A;København;1715;55.6685540;12.5605580
DK 2255 EF;KALU A/S;Slagtehusgade 18;København;1715;55.6683560;12.5608490
DK 226 EF;OK Snacks A/S;Holmevej 6;Ejstrupholm;7361;55.9817290;9.3025290
DK 2260 EF;Mozami  A/S;Ved Milepælen 4  A;Hasselager;8361;56.1025729;10.0878019
DK 236 EF;BHJ A/S;Kornvej 1;Hobro;9500;56.6540700;9.8113650
DK 25 EF;Danish Crown;Bragesvej 18;Ringsted;4100;55.4292780;11.7985370
DK 2518 EF;Havnens Fiskehus ApS Fisk engros;Fiskerivej 6;Aarhus;8000;56.1652830;10.2191940
DK 260 EF;ATRIA DANMARK A/S;Aage Jensen Bakken 1, Postboks 1123;Horsens;8700;55.8911580;9.8365600
DK 262 EF;Top Food;Sønderbro 21;Bindslev;9881;57.5368550;10.1974510
DK 2706 EF;HAVI Logistics ApS;Transitvej 60;Vejle;7100;55.7452290;9.5953960
DK 2708 EF;H.P. THERKELSEN A/S;Eksportvej 1;Padborg;6330;54.8353250;9.3482670
DK 2709 EF;Jørn Saaby Transport APS, frysehuset;Humlemarken 20;Hobro;9500;56.6579270;9.8097230
DK 2712 EF;DFDS KØLETRANSPORT A/S;Lundvej 15;Horsens;8700;55.8867240;9.7804600
DK 2714 EF;Ohl Logistics A/S;Plantagevej 7-8D-9;Padborg;6330;54.8295003;9.3606529
DK 2726 EF;Cater Food A/S;Søvejen 10, Herrup;Vinderup;7830;56.4089340;8.9175780
DK 2734 EF;HB Kødgros Aps;Kirstinehøj 75;Kastrup;2770;55.6166660;12.6137850
DK 2738 EF;Jensens Skinker;Grøftevej 4;Sorø;4180;55.4365822;11.5629363
DK 2740 EF;DANKØD EN GROS SLAGELSE APS;Matildevej 4;Slagelse;4200;55.3965690;11.3236540
DK 2744 EF;Dagrofa Logistik a/s;Knud Højgaards Vej 19;Vejle;7100;55.7286040;9.5744820
DK 2759 EF;Bornholmerslagteren ApS;Brovangen 18;Aakirkeby;3720;55.0740940;14.9107710
DK 2766 EF;INCO CC KØBENHAVN A/S;Flæsketorvet 84A;København;1711;55.6670130;12.5598540
DK 285 EF;NORDIC SEAFOOD A/S;Søren Nordbysvej 15;Hirtshals;9850;57.5879230;9.9887800
DK 290 EF;LL COLD ApS;Auktionskajen 20;Hanstholm;7730;57.1218970;8.5952430
DK 3017 EF;Christiansøpigens Sild;Gruset 7;Svaneke;3740;55.1374220;15.1453670
DK 3027 EF;Hirtshals Seafood A/S;Østergade 56;Hirtshals;9850;57.5877080;9.9740940
DK 304 EF;Danish Crown;Kilen 10;Aabenraa;6200;55.0464440;9.4237990
DK 3051 EF;Ruths Kryddersild;Christiansø 93;Gudhjem;3760;55.3198130;15.1851220
DK 3053 EF;Tenax Sild A/S;Tåsingevej 10;Nyborg;5800;55.3116360;10.7634020
DK 31 EF;Danish Crown;Danmarksgade 22;Herning;7400;56.1333820;8.9822350
DK 311 EF;Danish Crown;Åbenråvej 11;Skærbæk;6780;55.1557120;8.7763510
DK 315 EF;Danish Crown A/S;Ndr. Havnevej 1;Kolding;6000;55.4950830;9.4925630
DK 320 EF;Danish Crown;Østbirkvej 2;Horsens;8700;55.9167090;9.8275600
DK 333 EF;FISHERMENS FACTORY A/S;Industrivangen 2  B;Hanstholm;7730;57.1102620;8.6405430
DK 338 EF;Tican Fresh Meat A/S;Strandvejen 6;Thisted;7700;56.9542750;8.6997700
DK 345 EF;Hirtshals Stevedore Aps;Søren Nordbysvej 5;Hirtshals;9850;57.5886950;9.9855880
DK 3500 EF;Ophørt International Tarm Import Aps.;Fjordstien 1;Sakskøbing;4990;54.8034370;11.6315140
DK 3550 EF;DAT-Schaub A/S;Ådalen 4;Køge;4600;55.5054180;12.1832680
DK 371 EF;Snaptun A/S;Snaptunvej 59A;Juelsminde;7130;55.8202350;10.0371320
DK 372 EF;GoodLife Foods Nyborg A/S;Delfinvej 3-5;Nyborg;5800;55.3055191;10.8113627
DK 377 EF;Constellation Cold Logistics Denmark A/S;Skivevej 43;Hobro;9500;56.6346980;9.7774200
DK 4004 EF;Jacob Kongsbak Lassen ApS;Høgevej 8A;Hillerød;3400;55.9488080;12.2574890
DK 4017 EF;European Freeze Dry Aps;Karlebyvej 81;Kirke Hyllinge;4070;55.6868510;11.9170710
DK 4024 EF;Nopalax ApS, Engros;Strandvejen 22;Hundested;3390;55.9636790;11.8491470
DK 4025 EF;Juvredyb HV67 I/S, v/Chr. Peter Bentin;Byvej 13;Bredebro;6261;55.0761160;8.6611440
DK 4027 EF;Verner Andersens Farsfabrik A/S;Kattegatvej 65;Nordhavn;2150;55.7227170;12.6071620
DK 4031 EF;Pernille;Pakkerivej 2 A;Aarhus;8000;56.1649100;10.2191550
DK 4037 EF;A/S Læsø Fiskeindustri;Havnepladsen 6 C, Fiskepakhuset;Læsø;9940;57.2960370;10.9259950
DK 4046 EF;Skibby Røgeri;Industrivej 6;Skibby;4050;55.7584830;11.9561320
DK 4047 EF;Nordisk Fiske Kompagni A/S;Havnen 70;Lemvig;7620;56.5502690;8.3024450
DK 4047 EF;Jeka Fish A/S, Cimbric A/S;Havnen 70;Lemvig;7620;56.5502690;8.3024450
DK 4049 EF;Chrisfish Danmark A/S;Nordhavnsvej 18;Frederikshavn;9900;57.4479410;10.5511340
DK 4066 EF;Thilde Sofie ApS;Havbakken 108;Esbjerg;6710;55.5185390;8.3734420
DK 4069 EF;Vilsund Blue A/S;Food Parken 1;Nykøbing;7900;56.8213070;8.7852230
DK 4070 EF;Rune Egholm E 426 ApS;Vesterhavsgade 32;Esbjerg;6700;55.4689160;8.4368870
DK 4073 EF;P TAABBEL & CO HANSTHOLM A/S;Industribuen 3;Hanstholm;7730;57.1110770;8.6406610
DK 4075 EF;N O HAUSGAARD A/S;Sindalvej 20;Hirtshals;9850;57.5899660;9.9742350
DK 4076 EF;HV 42 JANNI, V/CHR BENTIN;Byvej 13;Bredebro;6261;55.0761160;8.6611440
DK 4089 EF;Essentia Protein Solutions;Adelvej 11;Lem;6940;56.0541780;8.3985290
DK 4135 EF;Polar Seafood Esbjerg A/S;H E Bluhmes Vej 30;Esbjerg;6700;55.4799650;8.4252410
DK 414 EF;M/TR Ocean Tiger, V/Partsrederiet Ocean Tiger R38;Strandgade 10;Nexø;3730;55.0631070;15.1337050
DK 417 EF;DAT-Schaub A/S;Estrupvej 9;Esbjerg;6700;55.4618300;8.4615830
DK 4310 EF;Statsfængslet i Jyderup;Søbæksparken 136;Jyderup;4450;55.6559390;11.4064710
DK 4315 EF;GULDBORG REJEPILLERI ApS;Guldborgvej 354;Guldborg;4862;54.8710530;11.7453040
DK 4322 EF;BC Catering Kolding A/S;Kokbjerg 28;Kolding;6000;55.5374620;9.4823300
DK 4328 EF;Lille Tanghusgaard, Osteriet;Tanghusvej 14;Kjellerup;8620;56.2825360;9.5167890
DK 4335 EF;International N&H Denmark ApS;Edwin Rahrs Vej 38;Brabrand;8220;56.1628290;10.1298790
DK 4344 EF;DET DANSKE MADHUS A/S;Roholmsvej 11D;Albertslund;2620;55.6665750;12.3592240
DK 4344 EF;Det Danske Madhus Albertslund A/S;Roholmsvej 11D;Albertslund;2620;55.6665750;12.3592240
DK 4363 EF;Ulfborg Slagteri, Slagteri;Industriarealet 40;Ulfborg;6990;56.2613170;8.3191370
DK 4367 EF;Intercargo Coldstores ApS;Trafikhavnskaj 19;Esbjerg;6700;55.4718540;8.4301450
DK 4375 EF;B T OST;Agersbølvej 2;Vejle;7100;55.7927320;9.5784100
DK 4383 EF;REMA Distribution Danmark A/S;Marsalle 32;Horsens;8700;55.8362880;9.7988840
DK 4384 EF;AB Catering Holstebro A/S;Nybo Høje 5;Holstebro;7500;56.3412890;8.6331390
DK 4393 EF;HØJER PØLSER A/S;Østermarkvej 16-18;Højer;6280;54.9739057;8.7031706
DK 4399 EF;Møllers Fiskerøgeri-Pakhus;Kulholmsvej 4;Randers;8930;56.4573960;10.0429530
DK 4403 EF;Bøje Kød Engros ApS;Kirstinehøj 75;Kastrup;2770;55.6166660;12.6137850
DK 4404 EF;EASYFOOD A/S;Albuen 39;Kolding;6000;55.5161300;9.4454460
DK 4418 EF;JN Spedition A/S;Hvidelvej 15;Herning;7400;56.1284120;8.9307930
DK 4433 EF;RANDERS KØD ENGROS ApS;Haraldsvej 60;Randers;8960;56.4366540;10.0521380
DK 4478 EF;Odden Fiskeriforening;Vestre Havnevej 33;Sjællands Odde;4583;55.9714250;11.3698450
