"source_column","transformation","target_column","target_database","comments"
"nb_annees_disponibilite_piece_detachee_8_consommateur","add_to_list","france:reparability_index:spare_part:availability_years:consumer",,"Not imported for the moment"
"nom_piece_detachee_9_consommateur","add_to_list","france:reparability_index:spare_part:name:consumer:fr",,"Not imported for the moment"
"delai_jours_piece_detachee_9_consommateur","add_to_list","france:reparability_index:spare_part:delivery_days:consumer",,"Not imported for the moment"
"nb_annees_disponibilite_piece_detachee_9_consommateur","add_to_list","france:reparability_index:spare_part:availability_years:consumer",,"Not imported for the moment"
"nom_piece_detachee_10_consommateur","add_to_list","france:reparability_index:spare_part:name:consumer:fr",,"Not imported for the moment"
"delai_jours_piece_detachee_10_consommateur","add_to_list","france:reparability_index:spare_part:delivery_days:consumer",,"Not imported for the moment"
"nb_annees_disponibilite_piece_detachee_10_consommateur","add_to_list","france:reparability_index:spare_part:availability_years:consumer",,"Not imported for the moment"
"nom_piece_detachee_11_consommateur","add_to_list","france:reparability_index:spare_part:name:consumer:fr",,"Not imported for the moment"
"delai_jours_piece_detachee_11_consommateur","add_to_list","france:reparability_index:spare_part:delivery_days:consumer",,"Not imported for the moment"
"nb_annees_disponibilite_piece_detachee_11_consommateur","add_to_list","france:reparability_index:spare_part:availability_years:consumer",,"Not imported for the moment"
"nom_piece_detachee_12_consommateur","add_to_list","france:reparability_index:spare_part:name:consumer:fr",,"Not imported for the moment"
"delai_jours_piece_detachee_12_consommateur","add_to_list","france:reparability_index:spare_part:delivery_days:consumer",,"Not imported for the moment"
"nb_annees_disponibilite_piece_detachee_12_consommateur","add_to_list","france:reparability_index:spare_part:availability_years:consumer",,"Not imported for the moment"
"nom_piece_detachee_13_consommateur","add_to_list","france:reparability_index:spare_part:name:consumer:fr",,"Not imported for the moment"
"delai_jours_piece_detachee_13_consommateur","add_to_list","france:reparability_index:spare_part:delivery_days:consumer",,"Not imported for the moment"
"nb_annees_disponibilite_piece_detachee_13_consommateur","add_to_list","france:reparability_index:spare_part:availability_years:consumer",,"Not imported for the moment"
"nom_piece_detachee_14_consommateur","add_to_list","france:reparability_index:spare_part:name:consumer:fr",,"Not imported for the moment"
"delai_jours_piece_detachee_14_consommateur","add_to_list","france:reparability_index:spare_part:delivery_days:consumer",,"Not imported for the moment"
"nb_annees_disponibilite_piece_detachee_14_consommateur","add_to_list","france:reparability_index:spare_part:availability_years:consumer",,"Not imported for the moment"
"nom_piece_detachee_15_consommateur","add_to_list","france:reparability_index:spare_part:name:consumer:fr",,"Not imported for the moment"
"delai_jours_piece_detachee_15_consommateur","add_to_list","france:reparability_index:spare_part:delivery_days:consumer",,"Not imported for the moment"
"nb_annees_disponibilite_piece_detachee_15_consommateur","add_to_list","france:reparability_index:spare_part:availability_years:consumer",,"Not imported for the moment"
"last_modified",,"-",,"Rejected (metadata related to data.gouv.fr)"
"datagouv_dataset_id",,"-",,"Rejected (metadata related to data.gouv.fr)"
"datagouv_resource_id",,"-",,"Rejected (metadata related to data.gouv.fr)"
"datagouv_organization_or_owner",,"-",,"Rejected (metadata related to data.gouv.fr)"
"is_orga",,"-",,"Rejected (metadata related to data.gouv.fr)"
"created_at",,"-",,"Rejected (metadata related to data.gouv.fr)"
