# we use this file to match Systeme U categories (with 3 levels: "category1 - category2 - category3") to OFF categories
# if we don't have a match, we check if category3, category2 or category 1 exist in the OFF taxonomy

# categories with no match:

categories with no mapping to OFF categories:
Charcuterie, traiteur - Apéritif - Apéritif de la mer	26
Epicerie sucrée - Biscuits - Biscuits et sablés	26
Surgelés - Desserts, viennoiseries et fruits - Desserts glacés	26
Charcuterie, traiteur - Charcuterie - Jambon blanc et rôti	26
Epicerie salée - Pâtes, riz, purées, féculents - Pâtes spécialités	25
Viandes, poissons - Boucherie - Viande hachée	25
Bio - Surgelés bio - Légumes, pommes de terre, pizzas	25
Epicerie sucrée - Compotes et desserts - Fruits au sirop	24
Epicerie salée - Conserves de légumes - Légumes froids	24
Fruits et Légumes - Prêts à consommer - Salades et crudités prêtes à l'emploi	24
Boissons sans alcool - Cafés - Cafés moulus	23
Epicerie sucrée - Tablettes et chocolat - Tablette de chocolat noir	23
Produits frais - Beurres, crèmes et oeufs - Beurres	23
Bio - Epicerie salée bio - Apéritifs, chips et tartinables	23
Produits frais - Desserts et compotes - Compotes et desserts fruitiers	23
Produits frais - Fromages à cuisiner, apéritifs et râpés - Mozzarella, feta, mascarpone	22
Bio - Epicerie salée bio - Sauces et condiments	22
Produits frais - Yaourts et fromages blancs - Yaourts et fromages blancs natures	22
Viandes, poissons - Volaille - Pintade, caille, abats	22
Pains, Viennoiseries et Pâtisseries - Pains de mie, pains pré-emballés - Biscottes et pains grillés	21
Boissons sans alcool - Jus de fruits et de légumes - Autres jus de fruits	20
Epicerie salée - Apéritifs et chips - Saucisson sec, chorizo	20
Epicerie salée - Apéritifs et chips - Chips	20
Viandes, poissons - Poissonnerie - Crevettes et coquillages	20
Epicerie salée - Produits du monde - Epicerie asiatique	19
Viandes, poissons - Traiteur de la mer - Poissons cuisinés	19
Nutrition et régimes alimentaires - Végétal - Boissons végétales	19
Charcuterie, traiteur - Charcuterie - Charcuterie tranchée et apéritive	19
Bio - Epicerie sucrée bio - Tablettes de chocolat	19
Charcuterie, traiteur - Charcuterie - Jambon et roti de volaille	19
Produits frais - Fromages à déguster - Comté, emmental, gouda et autres	19
Produits frais - Fromages à déguster - Spécialités crémeuses	19
Produits frais - Fromages à cuisiner, apéritifs et râpés - Raclette, tartiflette et fromage chaud	19
Produits frais - Yaourts et fromages blancs - Skyr, bien-être et 0%	19
Epicerie salée - Produits du monde - Epicerie mexicaine	19
Bières, vins, alcools - Apéritifs et Spiritueux - Liqueurs, digestifs et crèmes	19
Bio - Epicerie sucrée bio - Confitures, miels et pâtes à tartiner	19
Epicerie sucrée - Tablettes et chocolat - Tablette de chocolat lait	19
Viandes, poissons - Boucherie - Veau, agneau et abat	18
Produits frais - Fromages à cuisiner, apéritifs et râpés - Fromages en tranches et burger	18
Produits frais - Fromages à cuisiner, apéritifs et râpés - Fromages râpés et parmesan	18
Epicerie salée - Conserves de légumes - Lentilles et légumes secs	18
Bio - Epicerie sucrée bio - Farines, sucres et pâtisserie	18
Boissons sans alcool - Jus de fruits et de légumes - Jus d'orange	18
Surgelés - Légumes surgelés - Légumes cuisinés, poêlés	18
Surgelés - Légumes surgelés - Gratins et galettes de légumes	18
Bio - Produits frais bio - Charcuterie	17
Univers bébé - Desserts, goûters - Desserts aux fruits	17
Bio - Epicerie sucrée bio - Compotes et desserts	17
Charcuterie, traiteur - Pizza, quiche, pâte fraîche, crêpe - Pâte fraiche	17
